"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2021-11-19",149.975494384766,150.966506958008,148.899002075195,148.926498413086,33682000,147.809677124023
"2021-11-22",149.332504272461,149.829498291016,146.147506713867,146.302001953125,30594000,145.204864501953
"2021-11-23",146.15299987793,146.660003662109,144.115005493164,145.781997680664,27218000,144.688751220703
"2021-11-24",145.473495483398,146.249496459961,144.373001098633,146.119995117188,18040000,145.02424621582
"2021-11-26",144.348495483398,144.557495117188,141.842498779297,142.182998657227,30470000,141.116775512695
"2021-11-29",144,146.297500610352,143.893493652344,145.530502319336,32596000,144.439163208008
"2021-11-30",145.008499145508,146,141.601501464844,141.897506713867,42068000,140.833419799805
"2021-12-01",144,145.950500488281,140.912002563477,141.051498413086,34020000,139.993728637695
"2021-12-02",141.25,143.864501953125,140.214492797852,142.966003417969,29194000,141.89387512207
"2021-12-03",143.680999755859,144.399993896484,140.300994873047,142.001495361328,41230000,140.936614990234
"2021-12-06",143.040496826172,143.852493286133,140.149993896484,143.154998779297,30618000,142.081451416016
"2021-12-07",145.596496582031,147.531005859375,145.227493286133,147.269500732422,32240000,146.165115356445
"2021-12-08",147.596496582031,148.393005371094,146.406005859375,148.186492919922,24270000,147.075241088867
"2021-12-09",147.591003417969,149.100006103516,147.115005493164,147.63850402832,23270000,146.531356811523
"2021-12-10",148.699996948242,148.977493286133,146.703994750977,148.001495361328,24458000,146.891632080078
"2021-12-13",147.781494140625,147.970001220703,145.517501831055,145.826507568359,27070000,144.732940673828
"2021-12-14",143.968002319336,144.479995727539,141.214996337891,143.906997680664,38446000,142.827819824219
"2021-12-15",143.408996582031,146.720993041992,141.677993774414,146.440994262695,36370000,145.342819213867
"2021-12-16",147.170501708984,147.677001953125,143.606994628906,144.445007324219,33650000,143.361801147461
"2021-12-17",142.5,143.834503173828,141.300003051758,141.725006103516,50416000,140.662200927734
"2021-12-20",140,141.774505615234,139.320999145508,141.606994628906,27192000,140.54508972168
"2021-12-21",142.053497314453,143.869003295898,140.502502441406,143.472503662109,28756000,142.396606445312
"2021-12-22",143.067504882812,146.5,143.067504882812,146.414993286133,26322000,145.317001342773
"2021-12-23",146.5,148.243499755859,146.451995849609,146.91650390625,26384000,145.814788818359
"2021-12-27",147.255996704102,148.343994140625,147.169494628906,147.906494140625,15976000,146.797348022461
"2021-12-28",148.235992431641,148.29899597168,146.054504394531,146.686996459961,18200000,145.586990356445
"2021-12-29",146.644500732422,147.417007446289,145.647506713867,146.654998779297,17788000,145.555206298828
"2021-12-30",146.694000244141,147.300003051758,145.994506835938,146.200500488281,15688000,145.104125976562
"2021-12-31",146.050003051758,146.698501586914,144.852005004883,144.852005004883,18136000,143.765747070312
